split,AUC,MA
1,0.7152118728868009,0.43042374577360176
2,0.7222005708928891,0.4444011417857783
3,0.6841708886758866,0.3683417773517732
4,0.7057321016652798,0.41146420333055955
5,0.6923381812032301,0.3846763624064602
