epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.5221,0.0232,0.5208,0.0276,3,771,218,4
1.0,0.4981,0.0167,0.4979,0.0329,3,771,218,4
10.0,0.5272,0.031,0.5327,0.0417,3,771,218,4
100.0,0.5081,0.002,0.524,0.0067,3,771,218,4
