epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
1.0,1,0.37370000000000003,0.37424037942142685,885.55,300,200,4
5.0,1,0.5939000000000001,0.5999945096967826,886.97,300,200,4
10.0,1,0.5642999999999999,0.5839933046169442,885.64,300,200,4
100.0,1,0.6106,0.622027553928408,881.02,300,200,4
