epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.4815,0.0477,0.4858,0.0492,3,871,218,4
1.0,0.5305,0.0301,0.5367,0.0294,3,871,218,4
10.0,0.5362,0.0412,0.5383,0.0354,3,871,218,4
100.0,0.5286,0.0261,0.5384,0.0319,3,871,218,4
