epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.4986,0.0046,0.5021,0.0009,3,3000,1730,4
1.0,0.4871,0.0125,0.4911,0.0145,3,3000,1730,4
10.0,0.505,0.0123,0.5042,0.0129,3,3000,1730,4
100.0,0.4972,0.0005,0.4969,0.0018,3,3000,1730,4
1000.0,0.5113,0.0149,0.5128,0.0139,3,3000,1730,4
