epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.4949928163319857,0.4935522134822826,965.55,3458,1730,4
0.1,2,0.48931404323565764,0.49106186003196706,969.4,3458,1730,4
0.1,3,0.5113047545858532,0.5128641438913474,965.4,3458,1730,4
1.0,1,0.50638644792676,0.5052751804069079,962.14,3458,1730,4
1.0,2,0.4996571886798757,0.4998164318841609,957.22,3458,1730,4
1.0,3,0.5251227906044305,0.5251587071063012,957.94,3458,1730,4
10.0,1,0.5150883758227806,0.5172684372797777,957.75,3458,1730,4
10.0,2,0.4912078585986836,0.4910983401247697,958.22,3458,1730,4
10.0,3,0.5259728022987737,0.5278656571184656,972.86,3458,1730,4
100.0,1,0.49136690166727925,0.4930183292211582,960.44,3458,1730,4
100.0,2,0.526915032242975,0.5241106963292486,959.86,3458,1730,4
100.0,3,0.524772628554245,0.5269838499598567,958.8,3458,1730,4
