epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.5097,0.0139,0.5129,0.0181,3,800,400,10
1.0,0.5269,0.0281,0.5191,0.021,3,800,400,10
10.0,0.5465,0.0224,0.5199,0.0262,3,800,400,10
100.0,0.6077,0.0109,0.6038,0.0113,3,800,400,10
1000.0,0.6085,0.0042,0.6111,0.0052,3,800,400,10
