epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.5445669556434644,0.5509823312979587,89.43,771,218,4
0.1,2,0.4901944280784446,0.48422559891043604,89.68,771,218,4
0.1,3,0.5316050837471593,0.5272064203633213,89.59,771,218,4
1.0,1,0.48817439609460483,0.47032793018927,89.5,771,218,4
1.0,2,0.5215890918272873,0.5441973898899222,89.62,771,218,4
1.0,3,0.4843868361249053,0.4791481550985145,89.51,771,218,4
10.0,1,0.5209999158320007,0.5260000204910404,89.52,771,218,4
10.0,2,0.49280363605757094,0.48528743537636276,89.43,771,218,4
10.0,3,0.5678814914569481,0.5868343406681952,89.67,771,218,4
100.0,1,0.508458883932329,0.5147063491542557,90.06,771,218,4
100.0,2,0.5055130039558959,0.5271459901052584,89.57,771,218,4
100.0,3,0.510394747916842,0.5302746018489952,89.36,771,218,4
