epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.5102,0.0122,0.5079,0.0065,3,700,400,4
1.0,0.4796,0.0067,0.4791,0.0056,3,700,400,4
10.0,0.512,0.0164,0.509,0.0144,3,700,400,4
100.0,0.5212,0.0037,0.5151,0.0034,3,700,400,4
