epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.528925,0.5370251336638127,903.37,800,400,10
0.1,2,0.4962750000000001,0.49331034708852267,904.6,800,400,10
0.1,3,0.50395,0.508499049315193,910.07,800,400,10
1.0,1,0.5011,0.5001518603442956,905.5,800,400,10
1.0,2,0.513625,0.5086894122465221,899.23,800,400,10
1.0,3,0.5659000000000001,0.548432093377365,898.74,800,400,10
10.0,1,0.5781499999999999,0.5569435258919031,896.5,800,400,10
10.0,2,0.5306000000000001,0.5025000716290946,895.63,800,400,10
10.0,3,0.5307499999999999,0.5001227896168624,895.45,800,400,10
100.0,1,0.5927,0.5879844562682273,895.07,800,400,10
100.0,2,0.61835,0.6134129070851544,896.35,800,400,10
100.0,3,0.612125,0.6100843565524381,895.47,800,400,10
1000.0,1,0.614025,0.6154811578012696,895.05,800,400,10
1000.0,2,0.6039,0.6037388164058284,897.18,800,400,10
1000.0,3,0.60765,0.6139918488429623,893.68,800,400,10
