epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.5156,0.0224,0.5191,0.0199,3,700,400,4
1.0,0.5056,0.0392,0.5085,0.0371,3,700,400,4
10.0,0.4788,0.0115,0.4779,0.0139,3,700,400,4
100.0,0.5256,0.0023,0.5202,0.0056,3,700,400,4
1000.0,0.5,0.0188,0.5035,0.0064,3,700,400,4
