epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.5346,0.023,0.5313,0.0304,3,871,218,10
1.0,0.5227,0.0264,0.5211,0.0325,3,871,218,10
10.0,0.605,0.0222,0.6013,0.0199,3,871,218,10
100.0,0.5951,0.0332,0.6023,0.0312,3,871,218,10
