epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
1.0,0.4875,0.0,0.4855,0.0,1,300,200,4
10.0,0.5671,0.0,0.562,0.0,1,300,200,4
