epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.4985,0.0093,0.4992,0.0097,3,3458,1730,4
1.0,0.5104,0.0108,0.5101,0.0109,3,3458,1730,4
10.0,0.5108,0.0145,0.5121,0.0155,3,3458,1730,4
100.0,0.5144,0.0163,0.5147,0.0154,3,3458,1730,4
