epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
0.1,0.4818,0.0066,0.4825,0.0055,3,3458,1730,10
1.0,0.5012,0.0134,0.5016,0.013,3,3458,1730,10
10.0,0.5355,0.0087,0.5376,0.0085,3,3458,1730,10
100.0,0.5521,0.0082,0.5561,0.0092,3,3458,1730,10
1000.0,0.549,0.005,0.5483,0.0076,3,3458,1730,10
