epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
1.0,0.4555,0.0,0.4491,0.0,1,300,200,10
10.0,0.665,0.0,0.6872,0.0,1,300,200,10
