split,AUC,MA
1,0.6486207738109168,0.2972415476218335
2,0.6231651828548695,0.2463303657097391
3,0.638184389386093,0.276368778772186
4,0.6532806928784812,0.30656138575696246
5,0.6218232362168471,0.2436464724336942
