epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
1.0,1,0.4620823163033415,0.48437484897912525,9047.19,871,218,10
1.0,2,0.5580338355357293,0.5430269229527622,9112.3,871,218,10
1.0,3,0.5600538675195691,0.5448367525993127,9083.29,871,218,10
2.0,1,0.5719215554246275,0.5434932798613883,9061.02,871,218,10
2.0,2,0.5103105799175154,0.504936150720559,9088.29,871,218,10
2.0,3,0.5410318996717448,0.5456254155962657,9025.89,871,218,10
5.0,1,0.4994529080043767,0.5036713174809712,8977.32,871,218,10
5.0,2,0.592374379261005,0.5479594407969354,9151.04,871,218,10
5.0,3,0.5710798754313611,0.5723285192927188,9082.09,871,218,10
7.0,1,0.5646831074825351,0.5510223123405593,8958.01,871,218,10
7.0,2,0.5187273798501809,0.5121359226105168,9113.83,871,218,10
7.0,3,0.514771483881828,0.49795701486099564,9142.09,871,218,10
10.0,1,0.6482619308139047,0.6475605237383676,9202.26,871,218,10
10.0,2,0.6282299469741603,0.605201929100732,9169.12,871,218,10
10.0,3,0.6678730746570154,0.6597175948942157,9165.78,871,218,10
