epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
1.0,1,0.49600187109492466,0.4961540365513738,9117.14,3458,1730,4
1.0,2,0.5128671188479401,0.5134998608759765,9193.24,3458,1730,4
1.0,3,0.5021297069731698,0.5029966101547007,9233.01,3458,1730,4
2.0,1,0.5173029503157472,0.5175940235273868,9144.55,3458,1730,4
2.0,2,0.5069050085201643,0.5083560327059169,9143.78,3458,1730,4
2.0,3,0.5342296769020013,0.5366328099778961,9150.99,3458,1730,4
5.0,1,0.5104093020147683,0.5097875439654349,9195.24,3458,1730,4
5.0,2,0.5100484479935848,0.5068692028324866,8770.46,3458,1730,4
5.0,3,0.5016953456513749,0.5039777504856741,8752.53,3458,1730,4
7.0,1,0.5157245480971633,0.5169853301892304,8687.97,3458,1730,4
7.0,2,0.5294169534565137,0.5321434643584522,8703.92,3458,1730,4
7.0,3,0.5154866517424572,0.5157099899884227,8763.28,3458,1730,4
10.0,1,0.5174071970329781,0.5196168993888566,8710.25,3458,1730,4
10.0,2,0.5311089578669518,0.5299512113457694,8708.47,3458,1730,4
10.0,3,0.4860610110595075,0.4824663815779903,8699.37,3458,1730,4
