epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
1.0,1,0.5399,0.532224882408207,8873.64,600,400,4
1.0,2,0.478975,0.48913946636001754,9162.64,600,400,4
1.0,3,0.47265,0.46252286535970905,9277.29,600,400,4
2.0,1,0.48715,0.4935180926917161,9195.27,600,400,4
2.0,2,0.45462500000000006,0.45388973517859627,9142.62,600,400,4
2.0,3,0.596975,0.5845349726910765,9186.26,600,400,4
5.0,1,0.5561750000000001,0.5941511303422902,9113.68,600,400,4
5.0,2,0.513,0.5160341225185354,8766.43,600,400,4
5.0,3,0.49740000000000006,0.49814768600174303,8717.84,600,400,4
7.0,1,0.497325,0.5096166094712618,8675.71,600,400,4
7.0,2,0.546675,0.5355719413909983,8682.14,600,400,4
7.0,3,0.532925,0.5253213594428399,8726.87,600,400,4
10.0,1,0.553175,0.562499417569003,8753.45,600,400,4
10.0,2,0.5290750000000001,0.5270628415752104,8677.88,600,400,4
10.0,3,0.516375,0.5188108062256922,8704.58,600,400,4
