epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
1.0,1,0.5861,0.6026740988912731,93.48,300,200,10
1.0,2,0.4786,0.4865425250038866,92.08,300,200,10
1.0,3,0.5302,0.5306443011981754,92.58,300,200,10
2.0,1,0.4731,0.49073934746699777,92.17,300,200,10
2.0,2,0.5218,0.5206845982636276,92.17,300,200,10
2.0,3,0.544,0.53691464049413,92.38,300,200,10
5.0,1,0.5694999999999999,0.5621070670784378,91.73,300,200,10
5.0,2,0.5707,0.5701770376825697,92.09,300,200,10
5.0,3,0.6101,0.6110563162270678,92.65,300,200,10
7.0,1,0.6509,0.6625049391261004,92.17,300,200,10
7.0,2,0.5914999999999999,0.5808416254015761,91.75,300,200,10
7.0,3,0.6029,0.605489498023297,91.3,300,200,10
10.0,1,0.6354,0.6094086476835094,91.27,300,200,10
10.0,2,0.7023000000000001,0.6800741557326303,93.02,300,200,10
10.0,3,0.6693999999999999,0.6650676479051982,93.03,300,200,10
