epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
1.0,0.4972,0.0303,0.4946,0.0287,3,600,400,4
2.0,0.5129,0.0609,0.5106,0.0547,3,600,400,4
5.0,0.5222,0.0249,0.5361,0.0417,3,600,400,4
7.0,0.5256,0.0208,0.5235,0.0107,3,600,400,4
10.0,0.5329,0.0153,0.5361,0.019,3,600,400,4
