epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
1.0,0.5037,0.007,0.5042,0.0071,3,3458,1730,4
2.0,0.5195,0.0113,0.5209,0.0118,3,3458,1730,4
5.0,0.5074,0.004,0.5069,0.0024,3,3458,1730,4
7.0,0.5202,0.0065,0.5216,0.0075,3,3458,1730,4
10.0,0.5115,0.0189,0.5107,0.0204,3,3458,1730,4
