epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
1.0,0.5267,0.0457,0.5241,0.0281,3,871,218,10
2.0,0.5411,0.0252,0.5314,0.0187,3,871,218,10
5.0,0.5543,0.0397,0.5413,0.0284,3,871,218,10
7.0,0.5327,0.0227,0.5204,0.0224,3,871,218,10
10.0,0.6481,0.0162,0.6375,0.0234,3,871,218,10
