synth_file,n_synth_rows,n_real_rows,n_features,mean_tvd_1way,std_tvd_1way,mean_tvd_2way,std_tvd_2way,lr_accuracy,lr_f1_macro,baseline_accuracy,baseline_f1_macro
comb_run_10_eps0.10_run1_train3458_bins10.csv,3458,4323,979,0.6616715170868255,0.15322693553389194,0.8733201578392533,0.07242771308795987,0.14913294797687862,0.061192870310517365,0.9930635838150289,0.9943221856335331
comb_run_10_eps0.10_run2_train3458_bins10.csv,3458,4323,979,0.6677087681593309,0.15965098865231037,0.8760616731445272,0.07111018600321352,0.048554913294797684,0.030206689593588975,0.9930635838150289,0.9943221856335331
comb_run_10_eps0.10_run3_train3458_bins10.csv,3458,4323,979,0.6595708665514484,0.16320691127152526,0.87216646500478,0.07418351610397254,0.21271676300578035,0.035148042024832855,0.9930635838150289,0.9943221856335331
comb_run_10_eps1.00_run1_train3458_bins10.csv,3458,4323,979,0.576304880199319,0.08955537437704743,0.7531391616298813,0.06018163478134588,0.42890173410404625,0.2401326190365635,0.9930635838150289,0.9943221856335331
comb_run_10_eps1.00_run2_train3458_bins10.csv,3458,4323,979,0.578454681926095,0.09230383472040884,0.7537836157388336,0.05850918386032083,0.6832369942196532,0.5125634803094948,0.9930635838150289,0.9943221856335331
comb_run_10_eps1.00_run3_train3458_bins10.csv,3458,4323,979,0.5728528918866712,0.08928796856584972,0.748983619883198,0.060099571981566895,0.5919075144508671,0.41186642977557886,0.9930635838150289,0.9943221856335331
comb_run_10_eps10.00_run1_train3458_bins10.csv,3458,4323,979,0.5630022466462353,0.018388750888258643,0.6100388448439997,0.03016595313617905,0.9075144508670521,0.8692204567383721,0.9930635838150289,0.9943221856335331
comb_run_10_eps10.00_run2_train3458_bins10.csv,3458,4323,979,0.5614248766478127,0.018669135393227062,0.6085781004181927,0.030717405000126773,0.9052023121387284,0.8756521064355427,0.9930635838150289,0.9943221856335331
comb_run_10_eps10.00_run3_train3458_bins10.csv,3458,4323,979,0.5617760925519558,0.019269622981866606,0.608956573912082,0.030675683456122017,0.8947976878612717,0.8313625769551054,0.9930635838150289,0.9943221856335331
comb_run_10_eps100.00_run1_train3458_bins10.csv,3458,4323,979,0.5620248089449656,0.013992195996144688,0.598217421645613,0.02883211376416097,0.9028901734104047,0.8823637279534717,0.9930635838150289,0.9943221856335331
