epsilon,mean_AUC,std_AUC,mean_MA,std_MA,n_runs,train_size,n_targets,n_bins
1.0,0.5614,0.0495,0.5657,0.039,3,500,200,10
5.0,0.5614,0.0552,0.5494,0.0671,3,500,200,10
10.0,0.5859,0.0088,0.5825,0.016,3,500,200,10
100.0,0.6592,0.0071,0.6626,0.0086,3,500,200,10
